TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
1,F,H,no,no,no,A2
2,S,H,no,no,no,A2
3,H,S,no,no,yes,B2
4,F,F,yes,yes,no,A1
5,H,C,no,no,yes,B2
6,H,H,yes,yes,yes,B1
7,C,H,no,no,no,A2
8,H,C,no,no,yes,B2
9,C,C,yes,yes,no,A1
10,S,S,yes,yes,no,A1
11,H,H,yes,yes,yes,B1
12,H,F,no,no,yes,B2
13,H,H,yes,yes,yes,B1
14,S,S,yes,yes,no,A1
15,H,S,no,no,yes,B2
16,H,H,yes,yes,yes,B1
17,H,H,yes,yes,yes,B1
18,F,F,yes,yes,no,A1
19,S,H,no,no,no,A2
20,C,H,no,no,no,A2
