TrialNumber,CenterLetter,FlankerLetter,PerceptualCongruency,BehavioralCongruency,CorrectResponse,ConditionType
0,S,H,no,,,
1,H,H,yes,no,no,A2
2,H,H,yes,yes,yes,B1
3,H,S,no,no,yes,B2
4,H,F,no,no,yes,B2
5,F,F,yes,no,no,A2
6,S,H,no,yes,no,A1
7,S,C,no,no,yes,B2
8,S,H,no,no,yes,B2
9,H,H,yes,no,no,A2
10,S,F,no,yes,no,A1
11,S,H,no,no,yes,B2
12,S,C,no,no,yes,B2
13,C,C,yes,no,no,A2
14,H,S,no,yes,no,A1
15,H,C,no,no,yes,B2
16,H,F,no,no,yes,B2
17,F,F,yes,no,no,A2
18,C,S,no,yes,no,A1
19,S,H,no,yes,no,A1
20,S,F,no,no,yes,B2
21,S,S,yes,yes,yes,B1
22,S,S,yes,yes,yes,B1
23,C,H,no,yes,no,A1
24,H,H,yes,no,no,A2
25,H,H,yes,yes,yes,B1
26,H,H,yes,yes,yes,B1
27,C,F,no,yes,no,A1
28,F,F,yes,no,no,A2
29,F,C,no,no,yes,B2
30,F,H,no,no,yes,B2
31,C,S,no,yes,no,A1
32,S,S,yes,no,no,A2
33,S,S,yes,yes,yes,B1
34,S,S,yes,yes,yes,B1
35,C,H,no,yes,no,A1
36,H,H,yes,no,no,A2
37,H,H,yes,yes,yes,B1
38,H,H,yes,yes,yes,B1
39,H,C,no,no,yes,B2
40,C,C,yes,no,no,A2
41,S,F,no,yes,no,A1
42,F,C,no,yes,no,A1
43,F,S,no,no,yes,B2
44,S,S,yes,no,no,A2
45,F,H,no,yes,no,A1
46,F,C,no,no,yes,B2
47,F,S,no,no,yes,B2
48,S,S,yes,no,no,A2
49,F,C,no,yes,no,A1
50,F,H,no,no,yes,B2
51,F,S,no,no,yes,B2
52,S,S,yes,no,no,A2
53,C,F,no,yes,no,A1
54,C,H,no,no,yes,B2
55,C,S,no,no,yes,B2
56,S,S,yes,no,no,A2
57,S,S,yes,yes,yes,B1
58,S,S,yes,yes,yes,B1
59,F,C,no,yes,no,A1
60,C,C,yes,no,no,A2
61,C,C,yes,yes,yes,B1
62,C,C,yes,yes,yes,B1
63,F,S,no,yes,no,A1
64,S,S,yes,no,no,A2
65,S,C,no,no,yes,B2
66,S,H,no,no,yes,B2
67,F,C,no,yes,no,A1
68,C,C,yes,no,no,A2
69,C,C,yes,yes,yes,B1
70,C,C,yes,yes,yes,B1
71,H,S,no,yes,no,A1
72,S,S,yes,no,no,A2
73,S,F,no,no,yes,B2
74,H,C,no,yes,no,A1
75,C,C,yes,no,no,A2
76,C,C,yes,yes,yes,B1
77,C,C,yes,yes,yes,B1
78,H,S,no,yes,no,A1
79,S,S,yes,no,no,A2
80,S,F,no,no,yes,B2
81,S,C,no,no,yes,B2
82,C,H,no,yes,no,A1
83,H,H,yes,no,no,A2
84,H,F,no,no,yes,B2
85,H,C,no,no,yes,B2
86,S,F,no,yes,no,A1
87,F,F,yes,no,no,A2
88,F,F,yes,yes,yes,B1
89,F,F,yes,yes,yes,B1
90,S,H,no,yes,no,A1
91,H,H,yes,no,no,A2
92,H,F,no,no,yes,B2
93,H,S,no,no,yes,B2
94,F,C,no,yes,no,A1
95,C,C,yes,no,no,A2
96,C,C,yes,yes,yes,B1
97,C,C,yes,yes,yes,B1
98,H,F,no,yes,no,A1
99,F,F,yes,no,no,A2
100,C,S,no,yes,no,A1
101,C,F,no,no,yes,B2
102,C,H,no,no,yes,B2
103,H,H,yes,no,no,A2
104,H,H,yes,yes,yes,B1
105,C,S,no,yes,no,A1
106,S,F,no,yes,no,A1
107,F,F,yes,no,no,A2
108,F,F,yes,yes,yes,B1
109,F,F,yes,yes,yes,B1
110,C,H,no,yes,no,A1
111,C,S,no,no,yes,B2
112,C,F,no,no,yes,B2
113,F,F,yes,no,no,A2
114,F,F,yes,yes,yes,B1
115,F,F,yes,yes,yes,B1
116,H,C,no,yes,no,A1
117,C,C,yes,no,no,A2
118,C,C,yes,yes,yes,B1
119,C,C,yes,yes,yes,B1
120,F,H,no,yes,no,A1
121,H,H,yes,no,no,A2
122,H,S,no,no,yes,B2
123,F,C,no,yes,no,A1
124,C,C,yes,no,no,A2
125,C,H,no,no,yes,B2
126,C,S,no,no,yes,B2
127,S,F,no,yes,no,A1
128,F,F,yes,no,no,A2
129,F,S,no,no,yes,B2
130,F,C,no,no,yes,B2
131,H,S,no,yes,no,A1
132,S,S,yes,no,no,A2
133,S,S,yes,yes,yes,B1
134,S,S,yes,yes,yes,B1
135,F,H,no,yes,no,A1
136,H,H,yes,no,no,A2
137,H,H,yes,yes,yes,B1
138,H,H,yes,yes,yes,B1
139,S,C,no,yes,no,A1
140,C,C,yes,no,no,A2
141,C,F,no,no,yes,B2
142,C,H,no,no,yes,B2
143,H,S,no,yes,no,A1
144,S,S,yes,no,no,A2
145,S,S,yes,yes,yes,B1
146,S,S,yes,yes,yes,B1
147,H,F,no,yes,no,A1
148,F,F,yes,no,no,A2
149,F,F,yes,yes,yes,B1
150,F,F,yes,yes,yes,B1
151,F,H,no,no,yes,B2
152,H,H,yes,no,no,A2
153,H,H,yes,yes,yes,B1
154,H,H,yes,yes,yes,B1
155,S,F,no,yes,no,A1
156,F,F,yes,no,no,A2
157,F,F,yes,yes,yes,B1
158,F,F,yes,yes,yes,B1
159,H,C,no,yes,no,A1
160,C,C,yes,no,no,A2
